ended_on,ended_on_trust_code,started_on,started_on_trust_code,title,uuid,person_uuid,org_uuid
None,None,None,None,partner,6bdf2853a91955eba29233f6173a36c6,0003c11ba2ab7a9316467a45dfa3d7f2,6ec0117ebd757036c59cdf093a994491
None,0,2015-01-25 00:00:00,7,Analyst, Governance, Compliance & eDiscovery,5d9a1169e47f6cd49b16835ed733cf18,0003de0811d04697f3c14426474c435c,74cf04afd665b997b1d33985eefdf7e4
None,None,None,None,Founder,2beb8c33a3bcef63cbe299a7d20981e5,000407db3ad52703a4cb3db0749dfb99,e0f91ac08e46f4cf96af0a1549ad8a6e
None,0,2014-12-01 00:00:00,7,Chief Customer Officer,8d6872df39482cd77f169515cd0591f9,000407db3ad52703a4cb3db0749dfb99,cc09a5153e15bfc6c88a843648c9436a
None,None,None,None,Team Member,a351b01298f50e1147e76abec7d2ac06,00046663d9eaabc041e3595c04e2022c,14668f01837185641d6162d88b31a5f0
None,0,2014-12-22 00:00:00,7,CEO & Co-founder,31290e3704011a9e396f36c3571ebba9,000497acd3f979696c8bb4050c8efc04,357bf861fc20564ba864b54dd2619d0e
2012-12-01 00:00:00,6,2010-03-01 00:00:00,6,Co-Founder & President,54620b1e565b10a13ae69145ab32963d,000497acd3f979696c8bb4050c8efc04,0380331e7e65b765d0dc79b4e6a252db
None,0,2015-06-01 00:00:00,6,Co-Founder & CEO,5719e3a1d1041dce3f3f0b93468f399e,000497acd3f979696c8bb4050c8efc04,e4190d288c00ce91aa147958c58e25c7
None,None,1993-01-01 00:00:00,4,Partner,ae201bce28e12b8a72e17f6b333e1215,0004aea3ee6f5531558dc8b50c3afb21,a371f9508ed40b82e42c503a780fc67e
None,0,None,None,CTO,327c0b5120411afeec512839cfc34317,0004de0c243a015ffcaf2dd6c46397c8,e01318be174b582058836c3f285bfb8a
None,None,None,None,Lead Producer,145dd9f99ae271d7717f864a337f522e,0004f81448c1dcbe9e39a2dde812c5f1,5a6207e2b8689f4151788d51d2c40a93
None,None,2013-02-05 00:00:00,7,Founder, CEO,27ac4d676cafbecce491d0d998ad9018,000538203069bf8ee62b3ba5c80b74a9,2ddb66ed5eb30954dc7c8f36b064f05b
None,None,None,None,Principal and Chief Executive Officer,95fdef443d1919115db98260d91bcc7d,0005392e58a37a35a967164722f952b1,96c5928a579acbddf98bd03c56538dd5
None,None,None,None,CFO,f60ac407548ca4fa3c666cc197dfed6a,000562184e89b55036d938ef08ef0cde,3328ebbdd05a2fe36a750eaff4808af7
None,0,2011-03-22 00:00:00,7,Founder & CEO,5b83317081df34d41a6c1cbb7f0e75c6,000575b8eac066b12a1603c08c2b9f66,d2de0c01397db4f185759b5e74e6b6b8
None,0,None,None,Managing Attorney,a3dd2474c69da27edcee8608c0aaf053,0005b1111d44a8733ec6eca52014a0dc,5ea50023348f6a5088e812e1528f0649
None,0,None,None,Android Developer,d2f1a5f7dd443dac3ca6a3076545feee,0005c49f46ccd6ab7d220a0762e95606,ce4053345355378878dfd5347aa888b0
None,0,None,None,Lead Photographer,a4b4ad8cf72fe90e492f05aa5abb2c47,0005e4388f64d01c822da2de10690fed,c0c01dca3bf4364d0d2bc5c299174d28
None,None,None,None,Team Member,157b9ff6d86763cf5a6715df41ef5b48,0005fdb1540053befe9ccb0df5cf8c78,df14597c3e518d589c15fb3de3a34a54
None,0,None,None,Co-Founder & CEO,a66f29d8d9027e633079061dbd1ada51,0005fdb1540053befe9ccb0df5cf8c78,cefb2094a27c5944579f61ecd23b09cd
2016-04-22 00:00:00,7,2014-09-02 00:00:00,7,Analyst,c3cea1d671f5578dd2b1e6376a07b0c6,000609f84dee8b88fdab8e506d84dd8a,0ab195f163be606aad3776cce3e2455d
None,0,2016-05-02 00:00:00,7,Investor,ff26432c0ef7bdd6b71ee74d9293d36e,000609f84dee8b88fdab8e506d84dd8a,ad89cfd02839e404a62e72605d4d22b2
None,0,None,None,Director of Marketing,2bc7b2cb7e51cbfdd3c3b6907dcbeb3a,000611b6ffe890dffda10a32b3101c97,8b30b9c131423386ce29524c74274015
None,None,None,None,President,2f82d7d8bec1a9f99066c18a7fbcf983,000611b6ffe890dffda10a32b3101c97,7b37ebcfb5f13fb85c46207f8dce8f93
None,None,None,None,Team Member,23ce050b23faf8a7bc98a1c4e894c82b,000656b347dfa6069fecc41b5145862d,11511915e3d5ec69abb6981e97aba6a7
None,None,None,None,Creative Director,cc785cca2da99e1b6058c0a03f6122e0,000656b347dfa6069fecc41b5145862d,b8155695104922788843b0e5356e40bc
